Rok_Miesiac,,Eksport towarow (ceny biezace) (mln zl),Eksport towarow (ceny stale) (analogiczny okres roku poprzedniego=100),Eksport towarow (ceny stale) (okres poprzedni=100),Import towarow (ceny biezace) (mln zl),Import towarow (ceny stale) (analogiczny okres roku poprzedniego=100),Import towarow (ceny stale) (okres poprzedni=100),Saldo obrotow towarowych handlu zagranicznego ogolem (mln zl)
2000_1,01,9341.3,123.0,95.7,14440.8,117.5,83.3,-5099.5
2000_2,02,10647.4,133.6,114.2,16351.6,125.4,113.7,-5704.2
2000_3,03,11228.3,120.2,108.5,17884.3,109.6,111.6,-6656.0
2000_4,04,10471.2,124.2,94.5,16446.1,109.7,91.2,-5974.9
2000_5,05,10908.7,118.9,97.5,19171.6,121.8,113.8,-8262.9
2000_6,06,11470.9,123.9,104.8,17958.6,111.6,92.2,-6487.7
2000_7,07,11550.4,128.5,101.0,17786.4,110.5,102.0,-6236.0
2000_8,08,11193.9,124.4,95.8,16692.8,108.8,92.7,-5498.9
2000_9,09,12367.8,125.1,113.0,18052.1,103.1,109.1,-5684.3
2000_10,10,13605.1,132.2,110.8,20579.6,111.0,111.4,-6974.5
2000_11,11,13118.5,129.2,96.3,19130.9,103.2,94.3,-6012.4
2000_12,12,12005.2,120.3,89.9,18577.0,104.2,94.9,-6571.8
2001_1,01,12139.4,127.8,102.1,16538.0,113.5,91.5,-4398.6
2001_2,02,12084.5,113.9,102.0,15843.6,98.4,97.3,-3759.1
2001_3,03,13249.2,117.3,111.7,18392.0,104.8,118.5,-5142.8
2001_4,04,11597.3,111.5,89.7,16675.4,104.3,91.4,-5078.1
2001_5,05,11652.1,118.1,103.4,16827.9,96.4,104.3,-5175.8
2001_6,06,11325.2,110.8,98.2,16170.8,102.0,98.0,-4845.6
2001_7,07,11564.0,108.7,99.1,17383.9,105.5,105.9,-5819.9
2001_8,08,12422.5,113.2,99.9,16878.3,107.6,94.9,-4455.8
2001_9,09,13976.0,113.5,113.0,17801.6,101.6,102.5,-3825.6
2001_10,10,14748.1,114.6,111.7,19984.9,105.5,115.3,-5236.8
2001_11,11,12699.6,102.9,86.5,17776.0,103.6,92.4,-5076.4
2001_12,12,10656.6,94.3,82.5,15980.4,96.7,89.5,-5323.8
2002_1,01,11819.4,101.9,110.2,14823.2,99.4,94.0,-3003.8
2002_2,02,11958.4,99.9,100.0,16241.3,110.1,107.8,-4282.9
2002_3,03,13443.6,99.5,111.1,17929.4,101.5,109.4,-4485.8
2002_4,04,13456.6,111.7,100.7,19231.2,119.4,107.4,-5774.6
2002_5,05,12467.8,101.6,94.1,17565.2,102.4,89.5,-5097.4
2002_6,06,13787.0,111.9,108.1,18453.6,109.8,105.0,-4666.6
2002_7,07,14428.1,113.8,100.8,20387.6,108.1,104.2,-5959.5
2002_8,08,13967.5,111.6,98.0,17997.8,101.2,88.9,-4030.3
2002_9,09,15314.8,106.6,107.8,20205.1,111.6,113.0,-4890.3
2002_10,10,17530.2,108.5,113.8,22304.7,108.4,112.1,-4774.5
2002_11,11,15434.9,112.8,89.9,20389.1,103.0,87.8,-4954.2
2002_12,12,13729.8,121.2,88.7,19287.6,113.4,98.5,-5557.8
2003_1,01,13850.5,109.7,99.9,17924.3,110.3,91.4,-4073.8
2003_2,02,14603.6,114.3,104.2,18644.4,103.4,101.1,-4040.8
2003_3,03,17026.4,116.3,113.0,21774.3,106.0,112.3,-4747.9
2003_4,04,16899.6,116.8,101.1,21562.3,98.0,99.3,-4662.7
2003_5,05,16547.6,123.2,99.3,21163.4,109.5,100.0,-4615.8
2003_6,06,16658.1,112.0,98.2,20456.7,100.9,96.8,-3798.6
2003_7,07,17847.2,116.8,105.1,23832.9,111.3,114.8,-5985.7
2003_8,08,15639.7,106.2,89.1,19984.9,105.0,83.8,-4345.2
2003_9,09,20195.8,136.5,138.5,24857.5,115.4,124.2,-4661.7
2003_10,10,21476.5,121.2,101.1,26061.2,108.8,105.7,-4584.7
2003_11,11,19565.8,118.4,87.8,24166.5,114.8,92.5,-4600.7
2003_12,12,18633.5,130.5,97.8,24705.1,114.5,98.4,-6071.6
2004_1,01,18319.8,119.8,93.0,21723.1,109.9,87.9,-3403.3
2004_2,02,20376.3,127.8,111.1,22557.6,112.9,103.7,-2181.3
2004_3,03,24302.0,132.3,116.8,29929.7,123.8,123.0,-5627.7
2004_4,04,23908.8,129.2,98.5,33166.9,147.2,118.1,-9258.1
2004_5,05,22031.0,112.2,87.1,27217.4,121.3,82.7,-5186.4
2004_6,06,23483.2,111.8,95.7,28150.5,112.7,89.3,-4667.3
2004_7,07,21976.7,114.5,109.1,26751.2,113.6,116.1,-4774.5
2004_8,08,21180.0,133.3,103.9,24990.5,124.5,92.0,-3810.5
2004_9,09,25557.6,108.6,111.5,29481.4,113.3,112.8,-3923.8
2004_10,10,25024.3,102.3,95.7,28315.3,104.4,97.4,-3291.0
2004_11,11,24777.3,121.6,104.4,27767.7,113.2,100.4,-2990.4
2004_12,12,21165.4,114.3,91.5,25545.0,114.5,99.5,-4379.6
2005_1,01,21225.7,114.7,93.7,23019.5,102.8,81.4,-1793.8
2005_2,02,21469.1,102.6,99.3,23886.8,106.4,107.2,-2417.7
2005_3,03,23226.4,100.5,113.9,26862.2,102.5,118.2,-3635.8
2005_4,04,24603.6,104.7,102.8,27559.9,87.8,101.1,-2956.3
2005_5,05,22767.8,114.2,95.3,27147.2,104.2,98.1,-4379.4
2005_6,06,25141.9,129.9,108.5,27954.5,124.9,107.5,-2812.6
2005_7,07,23104.0,107.7,91.3,26490.4,95.9,88.9,-3386.4
2005_8,08,22588.9,104.0,99.9,26427.8,107.9,103.8,-3838.9
2005_9,09,26180.5,108.0,115.1,29625.0,104.8,109.2,-3444.5
2005_10,10,27243.5,119.9,106.1,29936.1,111.6,103.7,-2692.6
2005_11,11,27124.1,114.1,99.4,31081.3,113.4,102.1,-3957.2
2005_12,12,24105.3,110.1,88.4,28201.3,108.8,92.8,-4096.0
2006_1,01,24577.0,121.3,103.2,27428.1,128.1,96.5,-2851.1
2006_2,02,24983.4,123.1,100.8,28094.0,117.4,98.1,-3110.6
2006_3,03,29384.8,126.2,116.8,33006.6,121.8,122.2,-3621.8
2006_4,04,26564.7,105.5,86.0,29459.6,102.0,84.8,-2894.9
2006_5,05,28668.5,122.8,110.8,33826.8,121.1,116.0,-5158.3
2006_6,06,29939.6,118.7,104.9,33354.7,110.3,97.7,-3415.1
2006_7,07,27790.1,113.4,87.3,32932.9,120.2,97.3,-5142.8
2006_8,08,27487.6,118.6,104.4,31746.5,112.9,97.4,-4258.9
2006_9,09,32108.5,116.7,113.2,35988.1,118.1,114.0,-3879.6
2006_10,10,33560.8,118.6,107.9,38329.2,121.5,106.6,-4768.4
2006_11,11,32070.2,110.6,92.7,36266.7,116.1,97.6,-4196.5
2006_12,12,26643.8,100.7,80.5,33596.8,115.3,92.2,-6953.0
2007_1,01,29591.6,112.7,115.2,34425.0,119.0,98.9,-4833.4
2007_2,02,29800.9,112.5,100.6,33553.3,115.3,95.3,-3752.4
2007_3,03,34261.5,108.4,112.5,40308.0,115.2,121.5,-6046.5
2007_4,04,30665.1,115.1,91.5,36233.8,121.7,89.7,-5568.7
2007_5,05,32077.8,107.4,103.4,37771.0,113.1,107.8,-5693.2
2007_6,06,32169.4,103.9,101.4,38482.2,116.3,100.5,-6312.8
2007_7,07,31487.5,112.7,94.7,38662.5,120.8,101.1,-7175.0
2007_8,08,31682.3,108.3,100.4,35653.3,113.4,91.7,-3971.0
2007_9,09,33712.0,103.0,107.4,39623.0,110.6,110.8,-5911.0
2007_10,10,37949.7,110.1,115.2,43880.5,116.2,112.2,-5930.8
2007_11,11,35139.0,113.8,96.0,41968.5,114.0,95.7,-6829.5
2007_12,12,28018.8,106.9,75.7,36267.3,107.5,87.7,-8248.5
2008_1,01,33558.7,113.8,122.7,39582.7,114.9,105.8,-6024.0
2008_2,02,35401.7,119.9,106.0,41617.2,128.1,106.3,-6215.5
2008_3,03,34315.7,99.2,93.1,42400.6,104.2,98.8,-8084.9
2008_4,04,37497.7,123.9,114.2,44536.9,126.6,108.9,-7039.2
2008_5,05,32679.5,101.5,84.7,40068.9,103.3,87.9,-7389.4
2008_6,06,34157.0,110.7,110.4,42622.0,111.3,108.3,-8465.0
2008_7,07,33855.0,115.8,99.4,41840.8,109.8,99.8,-7985.8
2008_8,08,30219.7,100.6,87.2,37164.9,109.2,91.3,-6945.2
2008_9,09,36737.2,113.3,120.7,44140.4,111.8,113.2,-7403.2
2008_10,10,37490.8,100.2,101.8,45413.1,104.7,105.1,-7922.3
2008_11,11,32384.5,93.0,89.0,40475.2,89.5,81.7,-8090.7
2008_12,12,27085.6,92.7,75.6,37165.6,95.9,94.0,-10080.0
2009_1,01,30128.8,78.9,104.9,34497.6,82.5,90.4,-4368.8
2009_2,02,34524.2,80.8,108.4,37061.9,77.3,99.2,-2537.7
2009_3,03,38626.9,95.1,109.7,42350.0,86.0,110.9,-3723.1
2009_4,04,34277.5,77.8,93.3,37746.5,73.2,91.7,-3469.0
2009_5,05,33699.6,90.6,98.7,36435.5,82.1,99.1,-2735.9
2009_6,06,36317.6,90.7,110.5,40149.3,83.2,109.8,-3831.7
2009_7,07,35359.8,89.2,98.0,39360.7,84.5,100.9,-4000.9
2009_8,08,30673.1,92.2,90.2,34896.4,85.2,92.7,-4223.3
2009_9,09,38551.6,94.9,123.9,40494.8,88.1,116.5,-1943.2
2009_10,10,40022.5,96.9,103.7,42955.7,88.6,105.3,-2933.2
2009_11,11,38055.8,105.6,97.0,40790.8,101.7,94.1,-2735.0
2009_12,12,33004.6,120.1,85.9,36643.4,100.0,93.3,-3638.8
2010_1,01,34236.9,112.9,98.7,36572.4,102.9,92.9,-2335.5
2010_2,02,36286.1,114.3,110.1,39626.3,115.3,111.5,-3340.2
2010_3,03,40612.0,119.5,114.3,45147.3,117.7,113.6,-4535.3
2010_4,04,38498.9,121.3,94.9,41568.7,119.6,93.6,-3069.8
2010_5,05,40021.8,122.0,99.2,44284.2,124.7,102.7,-4262.4
2010_6,06,43053.8,115.5,104.4,46905.5,117.2,102.4,-3851.7
2010_7,07,40591.0,109.7,92.9,45435.3,109.8,94.7,-4844.3
2010_8,08,38076.8,118.3,97.0,44136.5,116.5,98.0,-6059.7
2010_9,09,44360.5,107.3,112.7,48287.7,109.4,110.5,-3927.2
2010_10,10,43939.3,103.7,100.5,48787.4,108.6,104.3,-4848.1
2010_11,11,42551.4,107.5,100.4,49527.1,113.6,99.0,-6975.7
2010_12,12,38829.7,111.0,88.6,45942.2,110.7,90.3,-7112.5
2011_1,01,40153.3,114.7,102.5,44300.5,112.9,95.0,-4147.2
2011_2,02,42483.4,110.8,105.5,47210.9,112.7,111.1,-4727.5
2011_3,03,48187.9,107.1,111.1,52935.3,107.9,108.4,-4747.4
2011_4,04,44225.9,104.9,93.0,50553.5,108.0,93.9,-6327.6
2011_5,05,46415.3,109.7,103.7,52021.9,109.1,103.6,-5606.6
2011_6,06,45259.8,102.1,97.2,51666.4,107.5,100.8,-6406.6
2011_7,07,42486.9,103.9,94.4,48956.6,103.9,91.7,-6469.7
2011_8,08,45945.9,114.0,106.8,51626.1,107.4,101.8,-5680.2
2011_9,09,52812.9,111.4,109.9,56269.0,108.5,110.8,-3456.1
2011_10,10,52071.3,108.9,98.2,56928.9,100.7,96.9,-4857.6
2011_11,11,52126.2,109.1,100.4,57444.7,99.3,97.8,-5318.5
2011_12,12,46570.2,102.3,83.2,53458.9,98.6,89.8,-6888.7
2012_1,01,48845.7,109.0,109.2,53761.2,106.5,102.9,-4915.5
2012_2,02,48144.7,104.4,101.1,53733.0,101.9,105.9,-5588.3
2012_3,03,51992.4,102.1,108.6,56073.5,95.6,101.1,-4081.1
2012_4,04,48472.3,105.4,95.9,52420.9,96.7,95.9,-3948.6
2012_5,05,50777.6,103.1,101.4,56373.6,98.6,105.2,-5596.0
2012_6,06,50567.0,103.1,97.3,54050.7,93.4,95.9,-3483.7
2012_7,07,50395.5,110.3,101.2,53524.0,104.7,102.2,-3128.5
2012_8,08,48745.1,99.3,96.2,50452.5,95.0,93.0,-1707.4
2012_9,09,51874.1,98.2,108.3,53337.0,89.5,103.8,-1462.9
2012_10,10,58036.2,111.2,111.2,58855.8,102.6,111.3,-819.6
2012_11,11,53780.4,102.4,92.7,57160.1,101.5,96.7,-3379.7
2012_12,12,41787.6,92.7,75.3,48385.3,97.4,86.0,-6597.7
2013_1,01,50197.9,102.4,125.3,51777.2,97.6,106.5,-1579.3
2013_2,02,51233.0,110.3,100.9,50757.1,96.9,98.1,475.9
2013_3,03,52865.1,99.5,101.9,56339.0,102.5,110.5,-3473.9
2013_4,04,54595.6,108.9,104.9,53298.0,100.6,94.1,1297.6
2013_5,05,51014.3,99.5,92.6,52109.8,95.7,100.2,-1095.5
2013_6,06,54495.8,106.2,103.9,53463.5,101.0,101.3,1032.3
2013_7,07,55546.9,109.8,104.5,56547.3,102.9,103.8,-1000.4
2013_8,08,52051.9,106.9,93.7,52500.3,103.6,93.8,-448.4
2013_9,09,59090.6,113.3,114.3,57405.5,111.4,111.7,1685.1
2013_10,10,61895.0,105.4,104.3,62871.1,110.1,110.0,-976.1
2013_11,11,56863.8,104.1,91.1,58468.3,107.1,94.2,-1604.5
2013_12,12,48028.9,114.5,82.8,50561.1,105.6,85.1,-2532.2
2014_1,01,56030.8,109.7,120.2,56454.5,110.4,111.0,-423.7
2014_2,02,54454.7,102.7,94.5,55023.8,110.5,98.2,-569.1
2014_3,03,58898.1,111.2,110.3,59925.7,108.7,108.7,-1027.6
2014_4,04,59029.0,106.6,100.9,58365.2,113.7,98.6,663.8
2014_5,05,56910.6,111.1,96.4,59027.7,115.1,101.6,-2117.1
2014_6,06,56521.4,106.0,99.1,57100.5,113.0,99.3,-579.1
2014_7,07,57391.5,104.0,102.5,59524.5,113.0,103.7,-2133.0
2014_8,08,50637.4,100.6,90.6,52454.2,108.5,89.8,-1816.8
2014_9,09,62470.7,104.8,119.3,61593.1,110.4,114.0,877.6
2014_10,10,65554.3,105.8,105.2,66345.8,105.5,105.2,-791.5
2014_11,11,61273.5,108.5,93.4,62043.8,105.4,94.2,-770.3
2014_12,12,54299.6,110.9,84.4,56708.7,111.4,100.7,-2409.1
2015_1,01,59079.0,101.3,109.8,57030.8,105.6,105.0,2047.7
2015_2,02,59866.7,111.0,103.6,57402.1,105.7,98.6,2464.6
2015_3,03,66087.0,112.9,112.2,64269.2,105.9,108.8,1817.8
2015_4,04,60697.3,102.7,91.8,61125.9,104.7,97.4,-428.6
2015_5,05,60056.4,107.4,100.8,57414.1,98.7,95.9,2642.3
2015_6,06,63477.6,112.3,103.6,62907.7,108.8,109.4,569.9
2015_7,07,61858.2,109.7,100.1,63813.0,104.4,99.6,-1954.8
2015_8,08,56006.2,104.3,86.0,56835.9,106.0,91.2,-829.7
2015_9,09,67099.8,105.3,120.7,66435.3,104.2,112.1,664.5
2015_10,10,69393.8,104.9,104.8,67425.7,102.4,103.3,1968.1
2015_11,11,66998.7,107.4,95.7,66370.0,109.8,100.9,628.7
2015_12,12,60215.6,114.1,89.5,59943.6,107.9,88.4,272.0
2016_1,01,60048.0,103.8,99.8,58015.1,102.1,99.9,2032.9
2016_2,02,65693.5,107.5,110.4,64223.6,113.7,110.7,1469.9
2016_3,03,68288.2,105.1,104.2,66715.5,106.8,102.3,1572.7
2016_4,04,67421.7,112.3,100.2,65315.6,112.0,101.2,2106.1
2016_5,05,66092.2,109.0,97.8,63554.5,111.0,95.4,2537.7
2016_6,06,69818.4,108.1,103.0,66706.1,102.6,100.6,3112.3
2016_7,07,62752.8,97.3,89.9,62008.7,98.9,96.3,744.1
2016_8,08,62213.8,113.7,100.3,63386.1,114.1,104.9,-1172.3
2016_9,09,70043.6,105.0,112.0,69396.6,105.3,103.8,647.0
2016_10,10,69990.3,103.7,103.6,68873.8,103.6,101.6,1116.5
2016_11,11,73932.6,110.2,101.7,71415.7,102.5,100.0,2516.9
2016_12,12,67182.7,105.4,85.5,66858.8,106.9,91.2,323.9
2017_1,01,69974.7,113.6,107.7,68046.9,112.2,104.3,1927.8
2017_2,02,69859.4,104.7,101.8,70594.0,104.5,103.5,-734.6
2017_3,03,81906.1,117.9,117.3,79963.6,115.9,113.7,1942.5
2017_4,04,69386.2,98.8,83.9,67528.4,97.9,85.5,1857.8
2017_5,05,73349.9,108.4,107.2,73731.0,114.6,111.5,-381.1
2017_6,06,73532.7,105.2,100.1,73888.5,113.4,99.3,-355.8
2017_7,07,68273.5,108.6,92.7,69157.7,108.9,92.8,-884.2
2017_8,08,69986.4,111.6,103.1,68947.2,106.9,100.6,1039.2
2017_9,09,78286.7,106.8,107.3,76558.7,110.0,111.0,1728.0
2017_10,10,81190.5,111.9,105.7,79556.7,113.3,103.0,1633.8
2017_11,11,80209.6,108.3,103.6,79913.3,116.7,102.9,296.3
2017_12,12,66663.8,104.0,80.0,72192.4,111.4,87.3,-5528.6
2018_1,01,74484.7,108.2,112.3,76630.5,113.7,106.4,-2145.8
2018_2,02,71882.0,102.7,96.2,74282.5,106.1,96.7,-2400.5
2018_3,03,80730.5,98.1,112.0,82427.2,103.7,110.9,-1696.7
2018_4,04,76642.3,112.3,96.2,76700.3,113.3,93.5,-58.0
2018_5,05,78234.1,107.1,102.4,78075.6,103.3,101.4,158.5
2018_6,06,82355.7,109.6,102.4,84072.5,107.2,103.2,-1716.8
2018_7,07,78540.2,108.7,92.0,79702.6,110.4,95.6,-1162.4
2018_8,08,76323.4,104.0,98.7,79650.7,109.9,100.3,-3327.3
2018_9,09,81448.4,107.1,110.2,81385.5,101.8,102.7,62.9
2018_10,10,91405.6,111.2,109.7,92962.6,111.4,112.7,-1557.0
2018_11,11,89497.7,106.2,98.9,89181.0,105.5,97.4,316.7
2018_12,12,69779.6,98.1,74.0,75759.8,100.9,83.7,-5980.2
2019_1,01,82612.7,107.2,122.7,81878.9,103.6,109.2,733.8
2019_2,02,82307.6,110.7,99.4,84262.5,109.7,102.2,-1954.9
2019_3,03,89599.3,107.1,108.3,87102.4,102.4,103.5,2496.9
2019_4,04,85562.6,106.1,95.3,84976.7,105.9,96.9,585.9
2019_5,05,87322.1,107.7,103.9,88383.9,109.4,104.6,-1061.8
2019_6,06,79853.4,93.9,89.2,79441.6,91.8,86.6,411.8
2019_7,07,84773.2,111.6,109.4,85302.8,107.5,112.1,-529.6
2019_8,08,78503.2,99.4,87.9,79596.2,98.6,91.9,-1093.0
2019_9,09,89436.4,101.5,112.4,86733.9,107.4,111.8,2702.5
2019_10,10,96251.6,103.9,113.1,95273.0,103.3,108.3,978.6
2019_11,11,90224.1,97.0,92.3,87917.0,94.8,89.2,2307.1
2019_12,12,77145.2,108.6,82.9,77610.1,103.1,91.4,-464.9
2020_1,01,86107.7,102.6,116.0,85719.3,103.2,109.4,388.4
2020_2,02,88031.8,107.4,104.0,85322.0,102.4,101.4,2709.8
2020_3,03,88009.4,97.9,98.8,88630.1,101.5,102.5,-620.7
2020_4,04,64539.2,72.6,70.7,65723.9,78.9,75.4,-1184.8
2020_5,05,73773.5,81.0,115.9,68818.8,78.7,104.4,4954.7
2020_6,06,86983.2,106.6,117.3,76534.3,101.4,111.5,10448.8
2020_7,07,89307.1,98.3,100.9,86807.0,101.7,112.3,2500.0
2020_8,08,81839.4,107.0,95.7,77880.8,101.3,91.4,3958.6
2020_9,09,99139.7,109.8,115.4,92424.0,104.8,115.8,6715.7
2020_10,10,106952.6,104.6,107.0,99148.5,104.5,107.9,7804.2
2020_11,11,106121.5,113.9,100.4,98581.1,112.4,96.1,7540.4
2020_12,12,91708.5,112.6,82.0,89769.6,113.3,92.0,1938.9
2021_1,01,92898.2,103.9,106.9,87308.5,100.6,95.9,5589.7
2021_2,02,98725.7,104.5,104.1,96304.2,107.2,108.2,2421.6
2021_3,03,115470.7,120.5,115.0,113215.9,120.0,114.4,2254.8
2021_4,04,109102.8,158.8,92.4,102413.8,143.8,89.1,6689.0
2021_5,05,104738.6,130.1,95.1,105007.6,138.3,102.3,-269.0
2021_6,06,109425.1,115.2,104.2,107557.7,128.4,102.5,1867.4
2021_7,07,106321.7,110.2,96.4,109206.1,111.6,98.5,-2884.5
2021_8,08,101702.2,106.0,92.1,107137.5,117.5,94.8,-5435.2
2021_9,09,114068.0,103.9,113.1,115245.8,107.6,108.3,-1177.8
2021_10,10,119297.7,101.4,104.6,120818.1,100.7,100.2,-1520.4
2021_11,11,129752.9,108.2,107.1,131750.9,112.1,106.8,-1998.0
2021_12,12,114474.1,109.2,82.7,127034.2,114.4,95.3,-12560.1
2022_1,01,116993.2,105.9,103.9,117707.3,107.0,90.0,-714.1
2022_2,02,119265.1,103.3,101.6,123345.0,102.7,103.9,-4079.9
2022_3,03,135059.9,98.4,109.4,150565.6,105.9,117.3,-15505.7
2022_4,04,128124.3,96.5,90.7,139238.0,104.9,88.8,-11113.7
2022_5,05,135745.8,107.2,105.7,139835.6,104.4,101.1,-4089.7
2022_6,06,135357.7,100.2,97.3,138697.4,101.1,99.5,-3339.6
2022_7,07,130211.7,99.3,95.8,136859.4,98.8,96.7,-6647.8
2022_8,08,131053.4,107.4,99.5,141154.0,106.7,102.2,-10100.6
2022_9,09,144744.3,105.6,111.3,154139.2,106.9,107.9,-9394.9
2022_10,10,145130.7,,,152827.5,,,-7696.8
